Hari,Tanggal,Platform,Waktu,Tipe Konten,Judul/Caption,Hashtags,Prompt Gambar,Script Video HeyGen
22,Senin,IG + TikTok,07:00 WIB,Fear/Urgency Video 30 detik,"Di Indonesia 1 dari 3 orang kena penyakit kritis. Kamu sudah proteksi? ⚠️ Data WHO: 33 persen populasi akan mengalami penyakit kritis selama hidupnya. Itu artinya dari 3 orang di sekitarmu termasuk kamu sendiri SATU orang akan kena. Pertanyaannya: sudah siap belum? WA 087781896087","#fakta #penyakitkritis #proteksi #fyp #WHO #statistik #indonesia #asuransi #ngobrassantuy #serius","Three Indonesian people standing together one of them highlighted in red glow representing the 1 in 3 statistic. They stand in front of a modern hospital building. Serious concerned expressions. On the hospital entrance wall clearly visible text @ngobras.santuy. The hospital sign board shows emergency contact 087781896087. Dramatic overcast lighting creating serious mood. 4K photorealistic documentary style","[0-3s HOOK] Avatar Pria very serious face: 1 dari 3 orang. Termasuk kamu? [4-15s] Data WHO menunjukkan 33 persen dari kita akan mengalami penyakit kritis selama hidup. Kanker jantung stroke diabetes gagal ginjal. [16-25s] Artinya dari 3 sahabat kamu satu orang kemungkinan besar akan kena. Bisa kamu bisa temanmu bisa keluargamu. [26-30s CTA] Sudah siap? Atau mau siap-siap sekarang? WA 087781896087. @ngobras.santuy"
22,Senin,Threads @projectcuan_,20:00 WIB,Thread Data,"Biaya pengobatan kanker di Indonesia: angka yang bikin merinding 🧵 Thread based on data: Kanker payudara: 200-500 juta. Kanker paru: 300-800 juta. Kanker usus: 250-600 juta. Leukemia: 500-1.5 miliar. Dan itu BELUM termasuk biaya hidup sehari-hari selama ga bisa kerja. Solusi? Proteksi SEKARANG. WA 087781896087","#kanker #biaya #thread #data #pengobatan #mahal #asuransi #proteksi #MCCP #sekarang",,
23,Selasa,FB + IG Carousel,12:00 WIB,Edukasi Carousel,"Kalkulator Premi: Berapa Ideal Berdasarkan Usia dan Penghasilan? 🧮 Rule of thumb: Premi asuransi = 10-15 persen dari penghasilan. Gaji 10jt = premi ideal 1-1.5jt per bulan. Gaji 20jt = premi ideal 2-3jt per bulan. Gaji 30jt = premi ideal 3-4.5jt per bulan. Dengan premi segitu kamu bisa dapat proteksi ratusan juta sampai miliaran! Mau hitung yang tepat buat kamu? WA 087781896087","#kalkulator #premi #edukasi #asuransi #penghasilan #gaji #ideal #hitung #manulife #plan","An Indonesian financial advisor at a clean modern desk with a large tablet showing a calculator app with premium calculations. Green charts showing income vs premium ratio. Clean professional office environment. Behind him on the wall @ngobras.santuy in brushed gold letters. His desk nameplate shows Petrus Jakub and 087781896087. Warm professional lighting from desk lamp and window. 4K photorealistic",
23,Selasa,TikTok @ngobras.santuy,19:00 WIB,Hook Video 30 detik,"Lu bayar Netflix 200rb per bulan tapi proteksi keluarga? NOL. 📺 vs 🛡️ Netflix = hiburan 200rb per bulan. Spotify = 60rb per bulan. Gym = 500rb per bulan. Kopi = 1.5jt per bulan. TAPI asuransi? Kemahalan katanya. Prioritas kamu di mana bro? WA 087781896087","#realita #prioritas #ngobrassantuy #fyp #netflix #asuransi #prioritas #mindset #viral #uang","A humorous comparison layout showing an Indonesian young adult surrounded by Netflix logo gym bag Starbucks cups and Spotify icon all adding up with plus signs. Then versus a small shield icon labeled Proteksi with a big red X through it and text Kemahalan. Colorful pop-art style. Background cafe wall shows @ngobras.santuy. Cash register displays 087781896087. Bright fun colorful lighting. 4K photorealistic comic style","[0-3s HOOK] Avatar Pria nyindir: Lu bayar Netflix 200rb per bulan TANPA protes. Tapi asuransi? KEMAHALAN. [4-15s] Coba kita hitung ya. Netflix 200rb. Spotify 60rb. Gym 500rb. Kopi harian 1.5 juta per bulan. Total pengeluaran HIBURAN kamu per bulan: hampir 2.5 juta! [16-25s] Tapi begitu dibilang premi asuransi 1 juta per bulan untuk proteksi 1 MILIAR: wah mahal pak! Ga ada budget. [26-30s CTA] Fix ini bukan soal budget. Ini soal PRIORITAS. Yuk atur prioritas bareng saya. WA 087781896087. @ngobras.santuy"
24,Rabu,IG @petrusjakub,07:00 WIB,Testimoni Real Case,"Client saya klaim 500 juta untuk pengobatan jantung 🫀💚 Preminya? Cuma 2.3 juta per bulan selama 5 tahun. Total premi yang dibayar: sekitar 138 juta. Klaim yang diterima: 500 JUTA. Return? Hampir 4x lipat. Dan yang paling penting: keluarganya ga perlu jual rumah atau pinjam sana-sini. ITULAH value asuransi yang sesungguhnya. WA 087781896087","#klaim #testimoni #manulife #jantung #500juta #proteksi #value #keluarga #real #bukti","A grateful Indonesian family hugging in a hospital waiting room looking relieved and emotional with happy tears. They hold an approval letter. Hospital corridor clean and modern. On the waiting room wall a health poster includes @ngobras.santuy text. The hospital information counter has digital display showing 087781896087. Soft emotional lighting warm tones conveying relief. 4K photorealistic emotional",
24,Rabu,All Platform,18:00 WIB,Urgency Post + Image,"Makin tua = makin MAHAL preminya. Sekarang atau nanti? ⏰📈 Fakta: Premi di usia 25 = 1.2jt per bulan. Premi di usia 35 = 1.9jt per bulan. Premi di usia 45 = 3.2jt per bulan. Premi di usia 50 = 4.5jt per bulan. PRODUK SAMA proteksi SAMA tapi harga BEDA. Kenapa? Karena risiko naik seiring usia. Jadi kalau mau hemat: SEKARANG. WA 087781896087","#urgency #sekarang #premi #usia #mahal #waktu #hemat #cepat #asuransi #manulife","A visual showing a staircase of increasing premium prices with age markers 25 30 35 40 45 50 each step higher and more expensive shown in rupiah amounts. An Indonesian man stands at age 30 step looking up at the rising costs ahead. The wall beside the staircase has @ngobras.santuy in large text. Bottom step has engraved 087781896087. Dramatic lighting from above creating urgency. 4K photorealistic infographic style",
25,Kamis,TikTok + IG Reels,12:00 WIB,Emotional Video 60 detik,"Surat untuk anakku: Papa sudah siapkan proteksi untukmu 💌👶 Dear anak Papa. Kamu mungkin belum mengerti sekarang. Tapi Papa mau pastikan apapun yang terjadi pada Papa kamu tetap bisa sekolah tetap bisa hidup layak dan tetap punya masa depan cerah. Itu janji Papa. Love Papa. WA 087781896087 untuk proteksi keluargamu","#emotional #anak #keluarga #proteksi #papa #surat #love #masadepan #janji #manulife","A touching scene of an Indonesian father sitting at a desk writing a letter while looking at a framed photo of his young child sleeping peacefully. Warm home office setting evening time. Soft warm desk lamp lighting. Very emotional intimate moment. Behind him bookshelf has small frame with @ngobras.santuy. On the desk beside the photo another small frame shows WA 087781896087. Warm golden intimate lighting. 4K photorealistic emotional cinematic","[0-5s] Soft piano music. Avatar Pria sits at desk looking at photo. Voice gentle: Dear anakku... [6-20s] Kamu mungkin belum mengerti kenapa Papa bayar sesuatu setiap bulan yang kamu ga bisa lihat manfaatnya sekarang. [21-35s] Tapi Papa mau kamu tau: ini adalah janji Papa. Janji bahwa apapun yang terjadi pada Papa entah sakit atau pergi kamu tetap bisa sekolah. Mama tetap ga perlu khawatir. Rumah ini tetap milik kita. [36-50s] Papa ga bisa jamin Papa selalu sehat. Tapi Papa BISA jamin kamu selalu terlindungi. [51-55s] Itu namanya cinta yang direncanakan. [56-60s CTA] Soft voice: Untuk semua Papa dan Mama di luar sana. Sudah siapkan proteksi untuk keluarga? WA 087781896087. @ngobras.santuy"
25,Kamis,FB Petrus Jakub,19:00 WIB,Storytelling Post,"Kisah nyata: Ibu muda yang kehilangan suami tanpa asuransi 💔 Ini cerita yang sering saya ingat. Seorang ibu muda 34 tahun dengan 2 anak kecil. Suaminya meninggal mendadak karena serangan jantung. Tidak ada asuransi jiwa. Tabungan habis untuk biaya RS dan pemakaman. Sekarang dia harus kerja 2 shift sambil urus 2 anak sendirian. Cicilan rumah terancam. Ini bukan cerita untuk menakut-nakuti. Ini REALITA yang terjadi setiap hari. Jangan sampai keluargamu mengalami ini. WA 087781896087","#kisahnyata #proteksi #keluarga #ibu #realita #asuransijiwa #jantung #janganterlambat #cerita #manulife",,
26,Jumat,All Platform,07:00 WIB,CTA Urgency + Image,"Slot konsultasi GRATIS minggu ini tinggal 5! 🔥 Saya buka 10 slot konsultasi gratis minggu ini. Sudah 5 terisi. Tinggal 5 lagi! Yang saya bantu: Hitung premi ideal untuk usia dan budgetmu. Bandingkan Plan 1 vs Plan 2. Jawab semua pertanyaanmu tanpa paksaan. DM atau WA 087781896087 SEKARANG. First come first served!","#konsultasi #gratis #terbatas #slot #sekarang #cepat #manulife #premi #WA #ngobrassantuy","An Indonesian man at a modern desk with a countdown board showing 5 SLOTS LEFT in bold red numbers. He gestures urgently toward the viewer inviting them. Clean modern office with green Manulife branding accents. Wall behind clearly shows @ngobras.santuy in illuminated text. Desk has clear sign WA 087781896087. Bright attention-grabbing lighting with slight red urgency accent. 4K photorealistic",
26,Jumat,IG @ngobras.santuy,21:00 WIB,Humor Carousel,"Alasan orang nolak asuransi vs realita hidup 😂🤡 Slide 1: Masih muda ga butuh --> Realita: penyakit ga pilih usia. Slide 2: Mahal --> Realita: lebih mahal biaya RS. Slide 3: Nanti aja --> Realita: makin tua makin mahal premi. Slide 4: Ga percaya asuransi --> Realita: percaya sama tabungan yang bisa habis? Slide 5: Sudah sehat --> Realita: asuransi dibeli SAAT sehat bukan saat sakit! WA 087781896087","#humor #alasan #realita #ngobrassantuy #meme #asuransi #nolak #fakta #lucu #viral","A comic strip style 5 panel image showing exaggerated reactions of people giving excuses on left panels versus reality slapping them on right panels. Cartoon style but photorealistic faces. Each panel has a vs comparison. Bottom of comic strip watermark @ngobras.santuy. Artist signature area shows 087781896087. Bright colorful comic book lighting with speech bubbles. 4K photorealistic comic hybrid",
